white,black
5.329400000000000000e+05,1.157060000000000000e+06
5.373510000000000000e+05,1.147453000000000000e+06
5.287890000000000000e+05,1.130155000000000000e+06
5.441900000000000000e+05,1.140614000000000000e+06
5.411700000000000000e+05,1.154034000000000000e+06
5.405310000000000000e+05,1.154673000000000000e+06
6.737920000000000000e+05,1.457808000000000000e+06
6.765340000000000000e+05,1.496142000000000000e+06
6.402730000000000000e+05,1.364783000000000000e+06
6.502540000000000000e+05,1.394646000000000000e+06
7.893710000000000000e+05,1.738729000000000000e+06
7.996370000000000000e+05,1.734827000000000000e+06
6.676090000000000000e+05,1.493291000000000000e+06
6.526800000000000000e+05,1.484764000000000000e+06
9.648920000000000000e+05,2.182184000000000000e+06
9.717770000000000000e+05,2.146979000000000000e+06
8.154120000000000000e+05,1.933552000000000000e+06
8.020850000000000000e+05,1.907231000000000000e+06
4.244420000000000000e+05,8.706020000000000000e+05
4.215640000000000000e+05,8.689320000000000000e+05
4.192960000000000000e+05,8.712000000000000000e+05
4.191790000000000000e+05,8.713170000000000000e+05
5.205770000000000000e+05,1.122947000000000000e+06
5.219150000000000000e+05,1.121609000000000000e+06
7.663640000000000000e+05,1.654772000000000000e+06
7.633840000000000000e+05,1.645320000000000000e+06
9.768960000000000000e+05,2.141860000000000000e+06
9.768420000000000000e+05,2.177334000000000000e+06
4.271020000000000000e+05,9.000020000000000000e+05
4.256790000000000000e+05,8.739210000000000000e+05
6.472690000000000000e+05,1.443647000000000000e+06
6.339270000000000000e+05,1.410973000000000000e+06
6.497240000000000000e+05,1.452776000000000000e+06
6.331750000000000000e+05,1.406009000000000000e+06
6.329580000000000000e+05,1.417666000000000000e+06
6.362380000000000000e+05,1.408662000000000000e+06
5.223570000000000000e+05,1.095627000000000000e+06
5.144930000000000000e+05,1.098407000000000000e+06
5.186910000000000000e+05,1.109485000000000000e+06
5.175790000000000000e+05,1.095321000000000000e+06
4.318780000000000000e+05,9.044580000000000000e+05
4.280750000000000000e+05,8.944250000000000000e+05
4.325730000000000000e+05,9.037630000000000000e+05
4.303570000000000000e+05,9.013590000000000000e+05
7.607310000000000000e+05,1.672869000000000000e+06
7.630660000000000000e+05,1.701834000000000000e+06
7.587730000000000000e+05,1.662363000000000000e+06
7.757780000000000000e+05,1.695406000000000000e+06
7.588420000000000000e+05,1.656074000000000000e+06
7.749170000000000000e+05,1.652447000000000000e+06
9.674680000000000000e+05,2.144228000000000000e+06
9.672140000000000000e+05,2.137430000000000000e+06
5.108700000000000000e+05,1.086826000000000000e+06
5.184680000000000000e+05,1.119932000000000000e+06
5.160000000000000000e+05,1.117284000000000000e+06
5.212070000000000000e+05,1.122317000000000000e+06
6.400510000000000000e+05,1.404849000000000000e+06
6.319570000000000000e+05,1.390127000000000000e+06
9.513120000000000000e+05,2.153332000000000000e+06
9.488660000000000000e+05,2.113634000000000000e+06
9.505550000000000000e+05,2.118949000000000000e+06
9.589260000000000000e+05,2.117590000000000000e+06
6.418480000000000000e+05,1.397336000000000000e+06
6.409370000000000000e+05,1.398247000000000000e+06
9.537940000000000000e+05,2.115710000000000000e+06
9.516780000000000000e+05,2.103826000000000000e+06
7.483080000000000000e+05,1.635628000000000000e+06
7.449970000000000000e+05,1.632767000000000000e+06
7.465850000000000000e+05,1.612711000000000000e+06
7.459010000000000000e+05,1.607255000000000000e+06
9.414090000000000000e+05,2.058415000000000000e+06
9.461510000000000000e+05,2.116349000000000000e+06
9.415070000000000000e+05,2.058317000000000000e+06
9.361900000000000000e+05,2.001606000000000000e+06
1.012730000000000000e+06,2.484170000000000000e+06
1.013349000000000000e+06,2.521051000000000000e+06
5.236590000000000000e+05,1.119865000000000000e+06
5.189300000000000000e+05,1.093970000000000000e+06
5.215470000000000000e+05,1.086277000000000000e+06
5.206470000000000000e+05,1.092253000000000000e+06
6.372610000000000000e+05,1.407639000000000000e+06
6.399230000000000000e+05,1.404977000000000000e+06
6.423950000000000000e+05,1.408229000000000000e+06
6.396550000000000000e+05,1.405245000000000000e+06
7.627870000000000000e+05,1.652129000000000000e+06
7.710710000000000000e+05,1.643845000000000000e+06
7.650240000000000000e+05,1.662340000000000000e+06
7.636970000000000000e+05,1.614067000000000000e+06
6.322850000000000000e+05,1.361459000000000000e+06
6.289220000000000000e+05,1.342294000000000000e+06
6.305620000000000000e+05,1.368834000000000000e+06
6.332280000000000000e+05,1.371828000000000000e+06
1.016804000000000000e+06,2.510080000000000000e+06
1.016784000000000000e+06,2.495092000000000000e+06
5.152130000000000000e+05,1.082483000000000000e+06
5.145840000000000000e+05,1.093240000000000000e+06
7.602710000000000000e+05,1.667093000000000000e+06
7.416980000000000000e+05,1.617598000000000000e+06
7.563480000000000000e+05,1.664788000000000000e+06
7.475510000000000000e+05,1.636385000000000000e+06
6.298350000000000000e+05,1.386565000000000000e+06
6.437840000000000000e+05,1.395400000000000000e+06
6.349210000000000000e+05,1.358823000000000000e+06
6.530010000000000000e+05,1.443703000000000000e+06
9.496000000000000000e+05,2.105904000000000000e+06
9.608380000000000000e+05,2.108666000000000000e+06
5.049530000000000000e+05,1.067563000000000000e+06
5.051860000000000000e+05,1.062318000000000000e+06
5.147270000000000000e+05,1.098173000000000000e+06
5.092650000000000000e+05,1.078335000000000000e+06
5.062850000000000000e+05,1.056215000000000000e+06
5.086000000000000000e+05,1.094156000000000000e+06
5.184980000000000000e+05,1.130158000000000000e+06
