Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
1.299558838463694688e+00,7.873396109132171361e+00,1.503246143415414554e+04,1.183565233663486724e+05,2.600000000000000000e+01,5.206780000000000000e+05,6.281400000000000000e+04,8.513701479024062824e-01,3.942136908223979885e-01,4.230276108461777929e-01,7.579524844721574617e-01,4.153787473454257362e-01,4.755799647567970911e-01,-1.079936581435258086e-01
1.296263163296959231e+00,7.816304707276191088e+00,1.520918454028791166e+04,1.188796207160846679e+05,2.200000000000000000e+01,5.252290000000000000e+05,6.055300000000000000e+04,8.506721582242443569e-01,3.952691857542464660e-01,4.230563323719571667e-01,7.570192514288375252e-01,4.149628437356488453e-01,4.756211437706510670e-01,-1.064935227001739398e-01
1.286583996846465849e+00,7.676711874397356361e+00,1.508839152803907928e+04,1.158292344088540558e+05,2.700000000000000000e+01,5.165920000000000000e+05,6.186200000000000000e+04,8.545072547930288032e-01,3.983207269333756129e-01,4.209164527767099706e-01,7.637038304867563854e-01,4.192532270743504208e-01,4.816374513795246282e-01,-1.082292929073788851e-01
1.272316140489847314e+00,7.429440574465687952e+00,1.575003369735133310e+04,1.170139394003038324e+05,3.400000000000000000e+01,5.314620000000000000e+05,7.241400000000000000e+04,8.383029312361083285e-01,3.829460291302748676e-01,3.968884886239306131e-01,7.223824313664566343e-01,3.745581035377372192e-01,4.467191662868101876e-01,-9.653738761292034176e-02
1.286033912359764164e+00,7.650715846728146197e+00,1.546239208156845416e+04,1.182983681267795910e+05,3.300000000000000000e+01,5.286830000000000000e+05,7.116800000000000000e+04,8.378665269714686836e-01,3.813421661927767214e-01,4.015367786011959650e-01,7.237648441988241421e-01,3.776422921979475933e-01,4.466537841595352720e-01,-9.809406603056772256e-02
1.280579295590608568e+00,7.574954787361077635e+00,1.552096910282062890e+04,1.175706392098944780e+05,2.600000000000000000e+01,5.283950000000000000e+05,6.749700000000000000e+04,8.351963504448074449e-01,3.788576272451660287e-01,3.967626658424888708e-01,7.163480859829572944e-01,3.696319989602114831e-01,4.406403403732059854e-01,-9.602640577828842894e-02
1.300407805113419357e+00,7.881600444291508190e+00,1.899912042358436156e+04,1.497434759716703848e+05,4.400000000000000000e+01,6.595570000000000000e+05,8.807800000000000000e+04,7.269783110146346150e-01,2.607835470294439517e-01,2.712282174695370141e-01,4.760280821910444216e-01,1.630467265851215652e-01,2.430916603794707476e-01,-5.170061429056269781e-02
1.308972449207183919e+00,8.015965349030516052e+00,1.891705043847186607e+04,1.516384208206530020e+05,4.500000000000000000e+01,6.620450000000000000e+05,9.143500000000000000e+04,7.236807455735290162e-01,2.573719867664835403e-01,2.700940087108962828e-01,4.704252192104682040e-01,1.597567719372100792e-01,2.386552056708206859e-01,-5.095020613601886766e-02
1.292734125991775507e+00,7.697831075893315500e+00,1.829342183088581078e+04,1.408196710542179935e+05,2.900000000000000000e+01,6.268080000000000000e+05,7.615200000000000000e+04,7.390293316470373242e-01,2.736783606493437548e-01,2.813986002825187294e-01,5.005425972527592915e-01,1.795383295757063125e-01,2.618392778274377664e-01,-5.527614444413460337e-02
1.293734866097267400e+00,7.739726672670212082e+00,1.852103464876924409e+04,1.433477458765284973e+05,2.000000000000000000e+01,6.369670000000000000e+05,7.575700000000000000e+04,7.374212538490803048e-01,2.718989917383389243e-01,2.799859025546741487e-01,4.968759955202281531e-01,1.770741350963133398e-01,2.590784839146754170e-01,-5.469068289763697605e-02
1.312941888389249634e+00,8.119082337354393886e+00,2.199621165056424798e+04,1.785890535008051083e+05,4.900000000000000000e+01,7.742010000000000000e+05,9.336300000000000000e+04,6.597632475291379528e-01,2.014901053634371164e-01,2.125905522629446820e-01,3.573372502096249237e-01,9.288365359007794142e-02,1.603317852862466975e-01,-3.275340374414900668e-02
1.305822672624455505e+00,7.908097576244276894e+00,2.254115809113552677e+04,1.782576776662479388e+05,4.100000000000000000e+01,7.840950000000000000e+05,1.075280000000000000e+05,6.540715190899759612e-01,1.977346648847746746e-01,2.049306883357834286e-01,3.479161840296596253e-01,8.758719088127743524e-02,1.546470017217262960e-01,-3.096584177218248551e-02
1.316384125625736035e+00,8.108073900958158831e+00,1.860601867152945488e+04,1.508589743913681596e+05,2.500000000000000000e+01,6.539360000000000000e+05,8.807200000000000000e+04,7.751973036334181000e-01,3.073630678870403754e-01,3.270947994892130506e-01,5.688661562966735863e-01,2.355716947398633354e-01,3.153726820150409282e-01,-6.870859614058397180e-02
1.329913664696128039e+00,8.324851762044858106e+00,1.795837548540558782e+04,1.495008138031418785e+05,4.400000000000000000e+01,6.386530000000000000e+05,8.695100000000000000e+04,7.864785308627848526e-01,3.172055338379026757e-01,3.435351749032109492e-01,5.936458204729471166e-01,2.574231984690265040e-01,3.343370968538146859e-01,-7.486159504641723417e-02
1.321874109747941173e+00,8.322925169136951240e+00,2.665457109679997666e+04,2.218440006541068433e+05,3.000000000000000000e+01,9.483360000000000000e+05,1.027560000000000000e+05,5.847862929967996282e-01,1.463715750068559363e-01,1.572081684519889833e-01,2.469900149846145088e-01,4.526012545577715041e-02,9.414970342489659139e-02,-1.789521447004506147e-02
1.307426756626024256e+00,8.001341478290564524e+00,2.733814333824813366e+04,2.187418202317776741e+05,4.200000000000000000e+01,9.549540000000000000e+05,1.191300000000000000e+05,5.766832686598947211e-01,1.416932874545345777e-01,1.484721269091789642e-01,2.369012359289068836e-01,4.127127220477206510e-02,8.886193664771849243e-02,-1.645238598293656887e-02
1.340541670123632345e+00,8.674493095480151794e+00,2.199997623758183909e+04,1.908386419736310781e+05,3.900000000000000000e+01,7.999790000000000000e+05,9.860900000000000000e+04,6.472814074638112425e-01,1.897583687653055240e-01,2.096693497376222182e-01,3.384108082274320251e-01,8.465534415376428645e-02,1.472640922483076931e-01,-3.097257943842392919e-02
1.351569126463759707e+00,8.839605956765238304e+00,2.146793345505435718e+04,1.897680724487382395e+05,2.900000000000000000e+01,7.869810000000000000e+05,1.022910000000000000e+05,6.526750793778602899e-01,1.930520320904050291e-01,2.161604435788515577e-01,3.473285522879608900e-01,8.937024767837478678e-02,1.524553734672162708e-01,-3.271446899830394994e-02
1.259340037160204373e+00,7.172119519721152692e+00,1.248338651671461412e+04,8.953234010875273088e+04,3.100000000000000000e+01,4.134740000000000000e+05,5.774800000000000000e+04,9.972543336591483953e-01,5.982350575551934613e-01,6.561070818221453882e-01,1.192320831101388201e+00,1.034598122401996001e+00,9.207048765207712648e-01,-2.042866813199661347e-01
1.257614569999891962e+00,7.116106982685539428e+00,1.245505354388932756e+04,8.863149349339312175e+04,3.300000000000000000e+01,4.104880000000000000e+05,5.571200000000000000e+04,1.004252179253355415e+00,6.091415002669843259e-01,6.705233327185928793e-01,1.216183935459502763e+00,1.077862131476795327e+00,9.476586106462923098e-01,-2.106940959516398759e-01
1.270886518053584879e+00,7.305496687676511947e+00,1.224628711282162112e+04,8.946520993905390787e+04,1.600000000000000000e+01,4.090770000000000000e+05,5.240300000000000000e+04,1.010353126841253779e+00,6.161268035958421541e-01,6.860482337712215939e-01,1.239825666204640964e+00,1.121994715768808160e+00,9.715732266113036308e-01,-2.204818942914120450e-01
1.274463864508388999e+00,7.404004970692109389e+00,1.214469710433609725e+04,8.991939772805453686e+04,2.400000000000000000e+01,4.082480000000000000e+05,4.849200000000000000e+04,1.014958543768436749e+00,6.216134758983764552e-01,6.961982705683118500e-01,1.256474309590772442e+00,1.153110545198319681e+00,9.889834592102290101e-01,-2.265753574950712390e-01
1.282895889533527845e+00,7.576554287604139404e+00,1.495040586716201506e+04,1.132725616742684506e+05,2.800000000000000000e+01,5.084420000000000000e+05,6.680600000000000000e+04,8.575360668135794118e-01,4.040234471681047879e-01,4.245331680425491472e-01,7.719526420866547056e-01,4.284810437989801657e-01,4.902828734606374805e-01,-1.081462514692804466e-01
1.278765124451182844e+00,7.490100276938182589e+00,1.505680254505354969e+04,1.127769609125091229e+05,3.100000000000000000e+01,5.093720000000000000e+05,6.496000000000000000e+04,8.574498819512061942e-01,4.051436073005048599e-01,4.242007176747614738e-01,7.717593038822301299e-01,4.283270199199519790e-01,4.908334405510104137e-01,-1.073688302340279760e-01
1.294213631118509733e+00,7.752224578962327861e+00,2.182650621497046086e+04,1.692039779525680060e+05,6.600000000000000000e+01,7.506370000000000000e+05,9.545300000000000000e+04,6.665212447372403926e-01,2.087296662526392232e-01,2.138539511983947317e-01,3.681402812760912191e-01,9.768774536597449321e-02,1.681587027639658838e-01,-3.356976984493740407e-02
1.298199247854733507e+00,7.790462507205721643e+00,2.169262487030602642e+04,1.689955807349974930e+05,5.800000000000000000e+01,7.474760000000000000e+05,9.848200000000000000e+04,6.678732506402655922e-01,2.097183162491985664e-01,2.158840043907771233e-01,3.707448869157599081e-01,9.919476914990132954e-02,1.697495209801260507e-01,-3.408441908095060507e-02
1.313233405302937085e+00,8.090435250299021774e+00,2.733382908325042808e+04,2.211425743407778791e+05,4.300000000000000000e+01,9.593920000000000000e+05,1.141880000000000000e+05,5.818804407859264893e-01,1.451934624525011985e-01,1.532087659260910617e-01,2.435719096015191987e-01,4.377620890162951806e-02,9.249799272782191495e-02,-1.725051666851566690e-02
1.316174830342697666e+00,8.175932993929032833e+00,2.721967624356652959e+04,2.225462490838418598e+05,5.200000000000000000e+01,9.601370000000000000e+05,1.078910000000000000e+05,5.794853592906908935e-01,1.432946692826116419e-01,1.523619809441577877e-01,2.401933837311089337e-01,4.270408532317979122e-02,9.057930220315760228e-02,-1.696197691390239834e-02
1.276266711510517293e+00,7.406792514880555345e+00,1.238252259717660490e+04,9.171477568810702360e+04,3.600000000000000000e+01,4.160040000000000000e+05,4.914400000000000000e+04,9.965915282162267630e-01,5.929686570062486783e-01,6.584187730057420307e-01,1.191095754361707337e+00,1.033668921912828997e+00,9.157647103799478883e-01,-2.100873744071477256e-01
1.276945836444116411e+00,7.371352788050353766e+00,1.237570332599607354e+04,9.122567521616518206e+04,3.300000000000000000e+01,4.144960000000000000e+05,4.570800000000000000e+04,9.994810767496516979e-01,5.976613574768979698e-01,6.630497195164731794e-01,1.201239031186970951e+00,1.050909830309667337e+00,9.271768035916780892e-01,-2.118753391127272956e-01
1.312031930838509997e+00,8.126353886239066071e+00,1.799986357337364461e+04,1.462732613012579095e+05,3.200000000000000000e+01,6.335610000000000000e+05,7.969300000000000000e+04,7.454160774910347786e-01,2.778484492600039046e-01,2.953400481368710917e-01,5.145809643319189108e-01,1.916504677214037888e-01,2.712339890619873684e-01,-5.926603379752679035e-02
1.314279991017159643e+00,8.073011865398799003e+00,1.767904468631732743e+04,1.427231375215553562e+05,3.800000000000000000e+01,6.200150000000000000e+05,7.397500000000000000e+04,7.532029892922693648e-01,2.852081850819616626e-01,3.023859113400507170e-01,5.303101866434649647e-01,2.030159049727213172e-01,2.831936705522629105e-01,-6.230519937007483744e-02
1.317216799058068988e+00,8.211129520070091559e+00,1.797761841303468100e+04,1.476165532518246910e+05,5.000000000000000000e+01,6.357620000000000000e+05,8.101300000000000000e+04,7.454513839520251484e-01,2.768098722439061299e-01,2.964864789099945219e-01,5.144735763316128363e-01,1.917889924956798220e-01,2.706731204656208090e-01,-5.991886073009701497e-02
1.312009953575696386e+00,8.051312601364198684e+00,1.768751317237730836e+04,1.424076976915566775e+05,3.700000000000000000e+01,6.195360000000000000e+05,7.585600000000000000e+04,7.548117342315097122e-01,2.875293431041653913e-01,3.047419447820957639e-01,5.339442664322928689e-01,2.060635346955687341e-01,2.862905077457591485e-01,-6.266860786409288175e-02
1.309664278971189422e+00,8.111285037702387513e+00,1.761584888187702745e+04,1.428871714619954873e+05,2.200000000000000000e+01,6.194810000000000000e+05,7.360100000000000000e+04,7.520891752187897072e-01,2.836717515881317930e-01,3.014253848017200421e-01,5.276388791042251336e-01,2.010726793503605503e-01,2.810106296688605898e-01,-6.203226126018064612e-02
1.314504381499694841e+00,8.131035898853447463e+00,1.767909578113880707e+04,1.437493624557081494e+05,3.000000000000000000e+01,6.222360000000000000e+05,7.365200000000000000e+04,7.572471020019709842e-01,2.892183239340505030e-01,3.083944886466062352e-01,5.386438065011518450e-01,2.100086127616662968e-01,2.896597374481557075e-01,-6.397227386074090527e-02
1.270980781253660652e+00,7.365848905570091532e+00,1.521536404937364568e+04,1.120740726309293823e+05,1.600000000000000000e+01,5.107020000000000000e+05,6.402600000000000000e+04,8.529952590014255875e-01,4.007369291968620462e-01,4.157545035088709984e-01,7.599218291690479354e-01,4.142494567769846592e-01,4.806627822078638479e-01,-1.041504992839754201e-01
1.270201282785253127e+00,7.358316046393102994e+00,1.497949613912538916e+04,1.102238668074098823e+05,2.900000000000000000e+01,5.024630000000000000e+05,6.454100000000000000e+04,8.626164437075698466e-01,4.126011734751673932e-01,4.294283145846615746e-01,7.853132704407481679e-01,4.427080107623335703e-01,5.039852669239696104e-01,-1.094925436319389295e-01
