white,black
4.156760000000000000e+05,4.233800000000000000e+05
4.156230000000000000e+05,4.271010000000000000e+05
1.652540000000000000e+05,2.068460000000000000e+05
1.662700000000000000e+05,2.107260000000000000e+05
4.205680000000000000e+05,5.164560000000000000e+05
4.198000000000000000e+05,5.133560000000000000e+05
5.490070000000000000e+05,6.742290000000000000e+05
5.522340000000000000e+05,6.798660000000000000e+05
6.681540000000000000e+05,8.153700000000000000e+05
6.698350000000000000e+05,8.185650000000000000e+05
4.394690000000000000e+05,4.291550000000000000e+05
4.465280000000000000e+05,4.220960000000000000e+05
