Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
8.254518746325685274e-01,2.023614291452047631e+00,2.276534144274031860e+04,4.606827029331488302e+04,2.800000000000000000e+01,4.039560000000000000e+05,1.829940000000000000e+05,9.633631441443308852e-01,6.334790137372723340e-01,5.255088815391508739e-01,1.023492146761647348e+00,7.491791497169494329e-01,8.142672847282901305e-01,-4.639339035191075711e-02
8.230276982946499453e-01,2.019359099752068065e+00,2.276886860574155435e+04,4.597852201006339601e+04,3.700000000000000000e+01,4.035640000000000000e+05,1.864960000000000000e+05,9.617983236789422463e-01,6.311345793893151646e-01,5.226774658457635780e-01,1.018756828946974835e+00,7.419773100809262667e-01,8.090002699417806475e-01,-4.597352278880373344e-02
8.323102968176200323e-01,1.955214387768394735e+00,9.260872668612755660e+03,1.810699148496274938e+04,7.000000000000000000e+00,1.581200000000000000e+05,1.039860000000000000e+05,2.202923620784198455e+00,4.121717274623963867e+00,8.408924796294339643e+00,1.146180712833697868e+01,1.125172999420397559e+02,2.326532521232732265e+01,-1.335216423362076910e+00
8.287932195955821646e-01,1.956780632211744253e+00,9.292753854174683511e+03,1.818388076176006143e+04,8.000000000000000000e+00,1.587910000000000000e+05,1.064090000000000000e+05,2.185181655158083380e+00,4.048158265625643182e+00,8.180271704616195905e+00,1.118778871213821802e+01,1.070207844852129853e+02,2.250550912323646457e+01,-1.301613411662593478e+00
8.334956079055931832e-01,1.942708756986766705e+00,2.399731160184291730e+04,4.661978739304037299e+04,1.100000000000000000e+01,4.083080000000000000e+05,2.711810000000000000e+05,9.534823553974974830e-01,6.105225778396982106e-01,4.927522498490085057e-01,9.908492882961399406e-01,6.909722129901860743e-01,7.739173580847551470e-01,-4.365723792568043660e-02
8.342181238903547680e-01,1.947076927756899778e+00,2.396260088367074786e+04,4.665702730964241346e+04,1.900000000000000000e+01,4.083490000000000000e+05,2.701870000000000000e+05,9.536902215830782570e-01,6.131912220984739870e-01,4.988948436372957485e-01,9.940627284654730556e-01,6.986803310415425905e-01,7.781206164892993105e-01,-4.367003194924318210e-02
8.352707460650895532e-01,1.952612826515142563e+00,3.138556180808421414e+04,6.128385055384902807e+04,2.000000000000000000e+01,5.355820000000000000e+05,3.514010000000000000e+05,7.718357252294977267e-01,3.628180656348477529e-01,2.335450492262552968e-01,5.374498003075236507e-01,1.895628053243972044e-01,3.236285599191711104e-01,-1.795321906325191008e-02
8.351562026966827812e-01,1.953159442797403722e+00,3.154805906009050523e+04,6.161838945514595980e+04,1.800000000000000000e+01,5.388230000000000000e+05,3.484110000000000000e+05,7.667069895882951958e-01,3.560029424436089718e-01,2.265424181470729881e-01,5.264438529920113519e-01,1.809509174645152763e-01,3.140093539014879864e-01,-1.758896370124213293e-02
8.347165320383753695e-01,1.941867738461072967e+00,3.835891409544571070e+04,7.448793776434574102e+04,2.500000000000000000e+01,6.524190000000000000e+05,4.353910000000000000e+05,6.639381762056373315e-01,2.465817035981951733e-01,1.355632527229524709e-01,3.474227439831170106e-01,7.481980751712831446e-02,1.724854262323754217e-01,-9.317532708185877893e-03
8.345843307237332809e-01,1.944524961906431093e+00,3.849835563663262292e+04,7.486101352778328874e+04,1.700000000000000000e+01,6.555190000000000000e+05,4.368160000000000000e+05,6.638489801376010746e-01,2.426079957221122518e-01,1.298218134330901830e-01,3.440318610464460081e-01,7.208406479013947099e-02,1.694206108675146427e-01,-9.491497230233111870e-03
8.042195411235957270e-01,1.906243102084001162e+00,2.486277625263282243e+04,4.739449573023923585e+04,2.200000000000000000e+01,4.280970000000000000e+05,2.007070000000000000e+05,9.178726723116168440e-01,5.631302435162718334e-01,4.373003618940454196e-01,8.857787111796480151e-01,5.501951960079367598e-01,6.644703889298165800e-01,-3.467905238024293624e-02
8.008608136093663399e-01,1.873089644502718754e+00,2.546296677302427634e+04,4.769441938086858136e+04,2.900000000000000000e+01,4.348670000000000000e+05,1.985470000000000000e+05,8.975431823728107217e-01,5.338420497313450808e-01,4.036601048359834687e-01,8.295938744007202992e-01,4.790950622861240848e-01,6.059362225563899029e-01,-3.060848623048123551e-02
