white,black
6.286050000000000000e+05,8.646790000000000000e+05
1.391044000000000000e+06,2.649056000000000000e+06
1.356091000000000000e+06,2.588105000000000000e+06
2.054430000000000000e+05,2.734210000000000000e+05
2.027540000000000000e+05,2.788820000000000000e+05
3.994860000000000000e+05,5.375380000000000000e+05
3.928550000000000000e+05,5.172610000000000000e+05
6.544950000000000000e+05,9.533290000000000000e+05
6.490830000000000000e+05,9.587410000000000000e+05
2.669770000000000000e+05,3.136670000000000000e+05
2.674950000000000000e+05,3.192610000000000000e+05
6.584950000000000000e+05,7.150890000000000000e+05
6.659410000000000000e+05,7.076430000000000000e+05
6.948620000000000000e+05,9.951380000000000000e+05
6.890860000000000000e+05,1.000914000000000000e+06
9.784740000000000000e+05,1.405462000000000000e+06
9.822600000000000000e+05,1.420240000000000000e+06
3.735300000000000000e+05,4.509340000000000000e+05
3.705350000000000000e+05,4.430690000000000000e+05
9.248020000000000000e+05,1.648014000000000000e+06
9.206840000000000000e+05,1.613780000000000000e+06
4.941870000000000000e+05,1.088377000000000000e+06
4.895580000000000000e+05,1.053006000000000000e+06
2.596770000000000000e+05,3.363070000000000000e+05
2.592650000000000000e+05,3.367190000000000000e+05
2.597870000000000000e+05,3.331130000000000000e+05
2.598290000000000000e+05,3.330710000000000000e+05
2.610470000000000000e+05,3.287770000000000000e+05
2.609640000000000000e+05,3.288600000000000000e+05
2.604190000000000000e+05,3.324810000000000000e+05
2.601200000000000000e+05,3.297040000000000000e+05
2.606530000000000000e+05,3.353310000000000000e+05
2.601160000000000000e+05,3.358680000000000000e+05
2.602600000000000000e+05,3.357240000000000000e+05
2.604930000000000000e+05,3.354910000000000000e+05
2.652710000000000000e+05,3.400130000000000000e+05
2.646040000000000000e+05,3.344720000000000000e+05
2.611080000000000000e+05,3.317920000000000000e+05
2.608880000000000000e+05,3.350960000000000000e+05
2.644250000000000000e+05,3.377510000000000000e+05
2.646010000000000000e+05,3.375750000000000000e+05
1.415048000000000000e+06,3.363548000000000000e+06
1.369324000000000000e+06,3.453092000000000000e+06
1.048619000000000000e+06,2.184185000000000000e+06
1.047969000000000000e+06,2.184835000000000000e+06
6.620180000000000000e+05,7.115660000000000000e+05
6.635590000000000000e+05,7.100250000000000000e+05
2.258550000000000000e+05,3.732210000000000000e+05
2.272580000000000000e+05,3.749180000000000000e+05
9.585610000000000000e+05,1.425375000000000000e+06
9.589040000000000000e+05,1.425032000000000000e+06
5.449290000000000000e+05,8.380470000000000000e+05
5.499440000000000000e+05,8.377400000000000000e+05
6.282490000000000000e+05,1.030695000000000000e+06
6.302350000000000000e+05,1.033865000000000000e+06
6.445680000000000000e+05,6.917680000000000000e+05
6.467610000000000000e+05,6.942030000000000000e+05
4.314450000000000000e+05,5.685550000000000000e+05
4.374300000000000000e+05,5.826700000000000000e+05
8.833810000000000000e+05,1.445295000000000000e+06
8.821130000000000000e+05,1.440463000000000000e+06
5.562490000000000000e+05,7.800870000000000000e+05
