Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
9.489025842106034725e-01,2.619584853031966087e+00,1.606134365292465009e+04,4.207405255254252552e+04,2.100000000000000000e+01,3.248020000000000000e+05,5.108000000000000000e+04,1.165551711717846217e+00,9.803542111163030537e-01,1.019025470704105096e+00,1.790651789814207806e+00,2.414469977727277339e+00,1.771696559959382355e+00,-1.455265384538420026e-01
1.116241971773773489e+00,4.876739298835631509e+00,1.269641727552688099e+04,6.191711708197755797e+04,1.600000000000000000e+01,3.478750000000000000e+05,3.723200000000000000e+04,1.137166913459001449e+00,8.717637262909685436e-01,9.532126016527686652e-01,1.704592713139539750e+00,2.157712286901243282e+00,1.589025223454305857e+00,-2.558703504777748439e-01
1.117166033351070675e+00,4.880929988629302052e+00,1.271723153304267908e+04,6.207191676197020570e+04,1.900000000000000000e+01,3.485320000000000000e+05,3.792400000000000000e+04,1.133266555445718193e+00,8.637289458658922170e-01,9.401914585175871197e-01,1.686905798259851874e+00,2.109365348846022226e+00,1.565265498104081665e+00,-2.526294254331250544e-01
1.105749277841713507e+00,4.693735923025831980e+00,2.411601559980536695e+04,1.131942087410578097e+05,5.100000000000000000e+01,6.485670000000000000e+05,7.761300000000000000e+04,7.079044823564066835e-01,2.653729564673940056e-01,2.067941337950062741e-01,4.292152804258054233e-01,1.239831282529362672e-01,2.210298120512653453e-01,-3.130359574989596133e-02
1.105467697577281472e+00,4.669114414434920590e+00,2.426518304330062529e+04,1.132969159163767617e+05,3.000000000000000000e+01,6.508950000000000000e+05,7.528500000000000000e+04,7.032106227446495161e-01,2.604965110368962500e-01,2.016393564144027817e-01,4.204899313903569524e-01,1.186221897147753807e-01,2.145427409510615724e-01,-3.033435560791759161e-02
1.065762938645873348e+00,4.325308320309042109e+00,4.175338521705984022e+04,1.805962644804174779e+05,6.500000000000000000e+01,1.090714000000000000e+06,2.711510000000000000e+05,4.941502486869354671e-01,1.002173650530313598e-01,6.661246919697516589e-02,1.460416208598703802e-01,1.336539101529237404e-02,4.616892980789298606e-02,-5.371287628796468649e-03
1.063109827975478261e+00,4.314879016647021004e+00,4.190895369131633197e+04,1.808320648922925466e+05,8.600000000000000000e+01,1.093436000000000000e+06,2.750780000000000000e+05,4.970115280704339722e-01,1.034124369419621853e-01,6.911257408321004603e-02,1.497139967911106095e-01,1.420537194344469352e-02,4.808809370012907813e-02,-5.489139697297770390e-03
1.205738912598507628e+00,6.341333352130189560e+00,2.271537569103839633e+04,1.440457694757491408e+05,3.700000000000000000e+01,7.109090000000000000e+05,9.157100000000000000e+04,6.857192013265243080e-01,2.325212077840593805e-01,2.098371589383704883e-01,3.950388562852189533e-01,1.087010910785061457e-01,1.904871704278380262e-01,-3.346830583563015216e-02
1.207619370777332835e+00,6.338861235237136071e+00,2.268406363861034333e+04,1.437911316564393637e+05,2.200000000000000000e+01,7.098020000000000000e+05,8.987800000000000000e+04,6.869165120930733615e-01,2.338934513443347851e-01,2.113202749629622679e-01,3.974085101236468631e-01,1.101104897493781903e-01,1.921938638614177630e-01,-3.374925931149026087e-02
1.184172500465697775e+00,5.950451856222261249e+00,3.817342166914811241e+04,2.271491078295374755e+05,4.500000000000000000e+01,1.156810000000000000e+06,1.463100000000000000e+05,5.065104969660068068e-01,1.033583166943901621e-01,8.765677458570349245e-02,1.573263637521700731e-01,1.700591203051194170e-02,5.034694252396464120e-02,-7.220884315338701662e-03
