white,black
2.753520000000000000e+05,1.316920000000000000e+05
2.717220000000000000e+05,1.302340000000000000e+05
2.751060000000000000e+05,1.268500000000000000e+05
2.770440000000000000e+05,1.300000000000000000e+05
2.744800000000000000e+05,1.300160000000000000e+05
2.771810000000000000e+05,1.298630000000000000e+05
2.803810000000000000e+05,1.317830000000000000e+05
2.795400000000000000e+05,1.326240000000000000e+05
4.180100000000000000e+05,2.219900000000000000e+05
4.182190000000000000e+05,2.217810000000000000e+05
