Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
8.314925440414191460e-01,1.025963696056165331e+00,2.102115460864521810e+04,2.156694147765374146e+04,3.900000000000000000e+01,2.662710000000000000e+05,8.529700000000000000e+04,1.269561509945821065e+00,1.232272478792381776e+00,1.369595845056145400e+00,2.268964029472753552e+00,3.999791175334962645e+00,2.518725147416573495e+00,-4.805498780847017315e-03
8.348035061768385168e-01,1.004367968542642986e+00,2.096284291155940082e+04,2.105440794996145996e+04,4.000000000000000000e+01,2.626770000000000000e+05,8.775100000000000000e+04,1.292264889489059154e+00,1.281870617171063209e+00,1.450451982188808664e+00,2.387645390416703428e+00,4.443307865201440165e+00,2.703285514260374889e+00,-1.054409170331727097e-03
8.294561414055779958e-01,1.015091985915954398e+00,2.113966620076189065e+04,2.145870574533176841e+04,3.500000000000000000e+01,2.662850000000000000e+05,8.590100000000000000e+04,1.282916388950897657e+00,1.259416568032588613e+00,1.410188596446946718e+00,2.335634405162571259e+00,4.238828029804280639e+00,2.621135776235450354e+00,-2.843758915423766354e-03
8.311287221269232361e-01,1.023550048151774083e+00,2.118961206574493190e+04,2.168862845021063913e+04,3.200000000000000000e+01,2.679870000000000000e+05,8.478500000000000000e+04,1.273601989689458813e+00,1.243592351038502963e+00,1.393024376968856171e+00,2.293702122008005606e+00,4.100009424959360160e+00,2.557855385093281697e+00,-1.463413390041967688e-03
8.310479177583659505e-01,1.010224543351080140e+00,2.112407589449866282e+04,2.134005992423347197e+04,3.100000000000000000e+01,2.654560000000000000e+05,8.673000000000000000e+04,1.280405772854708024e+00,1.255292681502315100e+00,1.405773783982976255e+00,2.324452097685328678e+00,4.201830946562891356e+00,2.604312326360174179e+00,-1.926832298321468073e-03
8.320201427277518214e-01,1.019713344850363912e+00,2.122735455006729899e+04,2.164581671057371568e+04,3.600000000000000000e+01,2.680200000000000000e+05,8.475200000000000000e+04,1.279470502961020273e+00,1.256531053256107144e+00,1.413975900628173132e+00,2.324205946828782121e+00,4.213402114595034220e+00,2.605320779745197601e+00,-7.553291268331818742e-04
8.335024648525415358e-01,1.012765298695161187e+00,2.154149689359276817e+04,2.181648053578036343e+04,3.600000000000000000e+01,2.710710000000000000e+05,8.290500000000000000e+04,1.256650746990313205e+00,1.202067132537995020e+00,1.316527418811806793e+00,2.199838938680511280e+00,3.743701850975244660e+00,2.411877216685356373e+00,-1.336880289329656080e-03
8.311787360252932411e-01,1.012777949223500062e+00,2.147114358126866500e+04,2.174550076372059630e+04,3.300000000000000000e+01,2.702180000000000000e+05,8.375800000000000000e+04,1.255311780211605388e+00,1.198450088128279578e+00,1.308822925339939491e+00,2.191980643083633495e+00,3.712748167081695527e+00,2.399643109920350792e+00,-1.294332581945445426e-03
8.686822929103128477e-01,1.012460421923463194e+00,3.261121909682989644e+04,3.301756864621489513e+04,2.600000000000000000e+01,4.078440000000000000e+05,1.462260000000000000e+05,8.464578721328015476e-01,4.701471566371471233e-01,3.224352584989478299e-01,6.958696342350778608e-01,3.296195102165204727e-01,4.771387989461232659e-01,-3.014614782483049371e-04
8.687771959099520602e-01,1.007439132734721854e+00,3.265375076994294432e+04,3.289666635620707530e+04,3.800000000000000000e+01,4.074130000000000000e+05,1.451970000000000000e+05,8.467914436619476959e-01,4.706701765092795031e-01,3.230711402941410793e-01,6.967300051483580337e-01,3.305564893578699093e-01,4.779944295169607504e-01,-2.889936803445181113e-04
