white,black
2.102430000000000000e+05,7.278100000000000000e+04
3.586270000000000000e+05,1.174730000000000000e+05
3.584290000000000000e+05,1.204350000000000000e+05
5.325270000000000000e+05,1.697170000000000000e+05
5.341960000000000000e+05,1.747680000000000000e+05
5.331880000000000000e+05,1.724120000000000000e+05
5.313870000000000000e+05,1.708570000000000000e+05
3.226820000000000000e+05,1.076540000000000000e+05
3.222990000000000000e+05,1.080370000000000000e+05
5.430830000000000000e+05,1.726330000000000000e+05
5.406200000000000000e+05,1.683440000000000000e+05
3.290550000000000000e+05,1.118410000000000000e+05
3.302030000000000000e+05,1.106930000000000000e+05
5.585190000000000000e+05,1.810810000000000000e+05
5.590110000000000000e+05,1.840330000000000000e+05
2.429560000000000000e+05,8.194400000000000000e+04
2.449720000000000000e+05,8.221200000000000000e+04
4.209200000000000000e+05,1.355960000000000000e+05
4.208700000000000000e+05,1.386340000000000000e+05
5.793440000000000000e+05,1.915400000000000000e+05
5.837310000000000000e+05,1.871530000000000000e+05
3.185310000000000000e+05,1.065730000000000000e+05
3.207700000000000000e+05,1.095660000000000000e+05
3.698020000000000000e+05,1.230020000000000000e+05
3.708900000000000000e+05,1.191100000000000000e+05
3.403810000000000000e+05,1.112030000000000000e+05
3.392730000000000000e+05,1.123110000000000000e+05
3.461710000000000000e+05,1.135130000000000000e+05
3.451320000000000000e+05,1.145520000000000000e+05
4.641490000000000000e+05,1.505070000000000000e+05
4.667490000000000000e+05,1.479070000000000000e+05
5.634200000000000000e+05,1.796240000000000000e+05
5.607780000000000000e+05,1.788220000000000000e+05
3.072310000000000000e+05,1.049330000000000000e+05
3.077490000000000000e+05,1.044150000000000000e+05
3.072850000000000000e+05,1.048790000000000000e+05
3.124640000000000000e+05,1.048520000000000000e+05
3.084480000000000000e+05,1.037160000000000000e+05
3.122650000000000000e+05,1.024710000000000000e+05
5.959600000000000000e+05,1.890360000000000000e+05
5.973810000000000000e+05,1.911630000000000000e+05
3.215680000000000000e+05,1.061480000000000000e+05
3.216460000000000000e+05,1.060700000000000000e+05
5.054530000000000000e+05,1.636710000000000000e+05
5.190730000000000000e+05,1.698270000000000000e+05
7.166900000000000000e+05,2.280940000000000000e+05
7.370320000000000000e+05,2.312240000000000000e+05
2.559060000000000000e+05,8.983800000000000000e+04
2.553660000000000000e+05,8.803000000000000000e+04
2.558630000000000000e+05,8.753300000000000000e+04
2.539990000000000000e+05,8.705700000000000000e+04
3.193150000000000000e+05,1.057890000000000000e+05
3.201820000000000000e+05,1.075340000000000000e+05
4.528930000000000000e+05,1.461830000000000000e+05
4.563280000000000000e+05,1.520720000000000000e+05
5.313530000000000000e+05,1.708910000000000000e+05
5.308160000000000000e+05,1.714280000000000000e+05
3.752470000000000000e+05,1.231890000000000000e+05
3.776420000000000000e+05,1.236220000000000000e+05
2.079130000000000000e+05,7.087100000000000000e+04
2.086380000000000000e+05,7.226200000000000000e+04
3.938660000000000000e+05,1.303100000000000000e+05
3.940380000000000000e+05,1.330380000000000000e+05
5.400410000000000000e+05,1.824590000000000000e+05
5.397010000000000000e+05,1.726350000000000000e+05
5.324920000000000000e+05,1.731080000000000000e+05
5.331960000000000000e+05,1.757680000000000000e+05
2.573070000000000000e+05,8.608900000000000000e+04
2.580480000000000000e+05,8.769600000000000000e+04
2.051660000000000000e+05,7.151000000000000000e+04
2.046000000000000000e+05,7.207600000000000000e+04
2.576420000000000000e+05,9.045800000000000000e+04
2.591320000000000000e+05,8.661200000000000000e+04
3.171280000000000000e+05,1.053720000000000000e+05
3.175360000000000000e+05,1.075680000000000000e+05
3.175740000000000000e+05,1.075300000000000000e+05
3.170380000000000000e+05,1.054620000000000000e+05
2.001310000000000000e+05,6.819300000000000000e+04
1.999450000000000000e+05,6.837900000000000000e+04
3.816470000000000000e+05,1.252970000000000000e+05
3.809320000000000000e+05,1.231680000000000000e+05
2.059430000000000000e+05,7.073300000000000000e+04
2.051370000000000000e+05,7.153900000000000000e+04
1.847460000000000000e+05,6.525400000000000000e+04
1.859920000000000000e+05,6.601200000000000000e+04
2.038410000000000000e+05,7.073500000000000000e+04
2.026160000000000000e+05,6.986800000000000000e+04
2.034800000000000000e+05,7.109600000000000000e+04
2.018610000000000000e+05,6.853900000000000000e+04
3.151230000000000000e+05,1.047810000000000000e+05
3.147360000000000000e+05,1.051680000000000000e+05
3.607410000000000000e+05,1.181230000000000000e+05
3.608250000000000000e+05,1.208110000000000000e+05
3.112020000000000000e+05,1.061140000000000000e+05
3.114170000000000000e+05,1.033190000000000000e+05
1.544600000000000000e+05,5.530400000000000000e+04
1.543770000000000000e+05,5.538700000000000000e+04
3.163790000000000000e+05,1.061210000000000000e+05
3.161420000000000000e+05,1.037620000000000000e+05
4.670840000000000000e+05,1.507120000000000000e+05
4.624230000000000000e+05,1.491010000000000000e+05
1.874820000000000000e+05,6.653400000000000000e+04
1.805370000000000000e+05,6.349900000000000000e+04
1.866280000000000000e+05,6.738800000000000000e+04
1.792420000000000000e+05,6.282200000000000000e+04
5.692640000000000000e+05,1.806920000000000000e+05
5.803270000000000000e+05,1.870490000000000000e+05
5.690100000000000000e+05,1.878900000000000000e+05
5.777910000000000000e+05,1.860850000000000000e+05
3.819620000000000000e+05,1.249820000000000000e+05
3.791570000000000000e+05,1.277870000000000000e+05
3.815620000000000000e+05,1.253820000000000000e+05
3.791490000000000000e+05,1.249510000000000000e+05
6.223860000000000000e+05,2.020780000000000000e+05
6.218570000000000000e+05,1.989790000000000000e+05
6.230350000000000000e+05,1.978010000000000000e+05
6.186680000000000000e+05,1.949360000000000000e+05
4.643080000000000000e+05,1.566360000000000000e+05
4.629670000000000000e+05,1.516890000000000000e+05
4.519650000000000000e+05,1.502110000000000000e+05
4.536960000000000000e+05,1.484800000000000000e+05
3.218240000000000000e+05,1.058920000000000000e+05
3.240240000000000000e+05,1.063120000000000000e+05
3.204540000000000000e+05,1.046500000000000000e+05
3.248770000000000000e+05,1.054590000000000000e+05
5.656650000000000000e+05,1.808310000000000000e+05
5.646250000000000000e+05,1.784190000000000000e+05
6.311180000000000000e+05,1.969820000000000000e+05
6.310630000000000000e+05,1.970370000000000000e+05
3.181490000000000000e+05,1.095670000000000000e+05
3.210940000000000000e+05,1.066220000000000000e+05
3.101450000000000000e+05,1.045910000000000000e+05
3.130970000000000000e+05,1.016390000000000000e+05
2.044590000000000000e+05,7.011700000000000000e+04
2.032020000000000000e+05,7.347400000000000000e+04
3.124440000000000000e+05,1.074600000000000000e+05
3.132750000000000000e+05,1.066290000000000000e+05
3.630010000000000000e+05,1.186350000000000000e+05
3.698370000000000000e+05,1.201630000000000000e+05
3.631830000000000000e+05,1.240210000000000000e+05
3.687650000000000000e+05,1.184390000000000000e+05
3.722390000000000000e+05,1.205650000000000000e+05
3.681360000000000000e+05,1.190680000000000000e+05
6.134830000000000000e+05,1.965170000000000000e+05
6.105640000000000000e+05,1.958400000000000000e+05
7.185680000000000000e+05,2.223320000000000000e+05
7.150180000000000000e+05,2.220060000000000000e+05
6.111610000000000000e+05,1.952430000000000000e+05
6.107620000000000000e+05,1.920540000000000000e+05
3.935620000000000000e+05,1.277220000000000000e+05
3.952170000000000000e+05,1.318590000000000000e+05
