Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
8.076177799264806501e-01,1.006571733868734331e+00,1.536287114099818245e+04,1.546383184159648044e+04,2.100000000000000000e+01,1.936780000000000000e+05,5.482200000000000000e+04,1.808538037415838406e+00,2.720363010842057783e+00,4.486633313291116920e+00,6.385989149041646940e+00,3.418239992852335973e+01,1.053274565213146374e+01,-3.000404009949164674e-03
8.046024214133058461e-01,1.011973618672758368e+00,1.164608746700890515e+04,1.178553327736845858e+04,2.900000000000000000e+01,1.472070000000000000e+05,4.332300000000000000e+04,2.325807950590111695e+00,4.693547714306467888e+00,1.016665522451709691e+01,1.337736893235721602e+01,1.560073646228864845e+02,2.898152946026845811e+01,-2.183261374065637028e-02
8.106305619752345315e-01,1.013116177690320141e+00,1.162842406029906488e+04,1.178094453653234086e+04,1.400000000000000000e+01,1.470720000000000000e+05,4.388100000000000000e+04,2.333692130006765009e+00,4.728243961853658917e+00,1.028037264305713450e+01,1.351248557709928200e+01,1.592602111715452509e+02,2.938225709118585627e+01,-2.753800578034315549e-02
8.128074408004114515e-01,1.015889959246443874e+00,1.163890012898308851e+04,1.182384177770605856e+04,3.100000000000000000e+01,1.473980000000000000e+05,4.311400000000000000e+04,2.333337845319909398e+00,4.724626305099343782e+00,1.026270459715477301e+01,1.350141694951815197e+01,1.589278231379456656e+02,2.934695514928318261e+01,-1.958656099856170840e-02
8.090155231345353970e-01,1.008325479076734421e+00,1.160339239275603359e+04,1.169999619334106319e+04,2.600000000000000000e+01,1.464040000000000000e+05,4.238000000000000000e+04,2.335432301047231540e+00,4.736417101711476896e+00,1.030840204410338501e+01,1.354372741851331341e+01,1.600305790597653299e+02,2.947563458180966833e+01,-2.260695020220282458e-02
8.091931896907450517e-01,1.010061687065725522e+00,1.157227620987081536e+04,1.168871283173267511e+04,2.300000000000000000e+01,1.461320000000000000e+05,4.179000000000000000e+04,2.357203974167040528e+00,4.831050349160194379e+00,1.061698848194119549e+01,1.391760233139108749e+01,1.691793322985342343e+02,3.059040234963545046e+01,-1.320983781964457648e-02
8.071237263289593455e-01,1.011032744355309987e+00,1.148195420998133704e+04,1.160863167547943522e+04,2.900000000000000000e+01,1.450680000000000000e+05,3.896900000000000000e+04,2.356648312452259919e+00,4.827510955790941694e+00,1.060173358324930781e+01,1.390506267016893815e+01,1.688293176433290625e+02,3.055164281935109827e+01,-2.254425442046681383e-02
8.028174362137761033e-01,1.008730370683581290e+00,1.530692073597043054e+04,1.544055582801964920e+04,3.500000000000000000e+01,1.931720000000000000e+05,5.882300000000000000e+04,1.822501516814851952e+00,2.767249511799332762e+00,4.604609296381308781e+00,6.533089784720942816e+00,3.583227047618001393e+01,1.086782834844162693e+01,-5.685260943220526997e-03
8.033463659833863790e-01,1.003147672802020995e+00,1.532159003535309421e+04,1.527351401071029431e+04,2.400000000000000000e+01,1.922160000000000000e+05,5.231400000000000000e+04,1.827761077539866719e+00,2.783394455907394871e+00,4.641705199939947235e+00,6.585827899124984341e+00,3.641282244707797844e+01,1.098747136640314537e+01,6.391339973887966153e-04
8.074353421568105649e-01,1.013609956713670934e+00,1.167138925759243466e+04,1.183023636017667195e+04,1.500000000000000000e+01,1.476540000000000000e+05,4.243300000000000000e+04,2.331711631434751908e+00,4.719237852175913517e+00,1.024972563263582614e+01,1.347770295611877245e+01,1.584090301576925413e+02,2.927869967287779929e+01,-2.572384901273494506e-02
8.088690773326634442e-01,1.011161764434094890e+00,1.162653304344121534e+04,1.175630566645732506e+04,8.000000000000000000e+00,1.469110000000000000e+05,4.057400000000000000e+04,2.337781496850444451e+00,4.746479292735426903e+00,1.034103459691312210e+01,1.358333739914308325e+01,1.609873398352476954e+02,2.959322279826020718e+01,-2.170162978185885549e-02
