white,black
3.647910000000000000e+05,5.075650000000000000e+05
3.649810000000000000e+05,5.036430000000000000e+05
4.580250000000000000e+05,6.319110000000000000e+05
4.565800000000000000e+05,6.250200000000000000e+05
3.003320000000000000e+05,4.153840000000000000e+05
2.997990000000000000e+05,4.159170000000000000e+05
5.153570000000000000e+05,6.858590000000000000e+05
5.135630000000000000e+05,6.920410000000000000e+05
7.792830000000000000e+05,1.070317000000000000e+06
7.759660000000000000e+05,1.057350000000000000e+06
