Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
9.378604441486189103e-01,2.671167595053865806e+00,1.747379641040635033e+04,4.667543873404600163e+04,1.600000000000000000e+01,3.551920000000000000e+05,1.101780000000000000e+05,9.475920086318447844e-01,5.882981341927568941e-01,4.725247166296286938e-01,9.801188071036897043e-01,6.632206947721799306e-01,7.510193862048604174e-01,-7.096873438939937939e-02
9.407868506802067321e-01,2.691939907380556551e+00,1.741722408390812416e+04,4.688612058726203395e+04,2.100000000000000000e+01,3.554730000000000000e+05,1.069710000000000000e+05,9.599083425496073296e-01,6.176819505307262759e-01,5.209029640396257710e-01,1.030157875005709434e+00,7.509783066824768927e-01,8.088246931428398900e-01,-7.414913132292844100e-02
9.369152492395241838e-01,2.658583242859355877e+00,2.204755381349089294e+04,5.861525711458677688e+04,3.300000000000000000e+01,4.473580000000000000e+05,1.365820000000000000e+05,7.845847378643511227e-01,3.722275525982092770e-01,2.523941164575116414e-01,5.717371963462418716e-01,2.148559520566937497e-01,3.485179717841723201e-01,-3.173661025458471285e-02
9.390902917083299162e-01,2.691850438011655466e+00,2.183728030527197552e+04,5.878269255472966324e+04,2.100000000000000000e+01,4.459330000000000000e+05,1.312170000000000000e+05,7.956352394580625820e-01,3.871624777966074515e-01,2.692481004805684641e-01,5.974847430638602352e-01,2.372317114375726010e-01,3.714367567365620681e-01,-3.391696077631842221e-02
9.751952427339614093e-01,3.032205049765750893e+00,1.345559929151453980e+04,4.080013611935485096e+04,2.900000000000000000e+01,2.914890000000000000e+05,7.930900000000000000e+04,1.409696327348935796e+00,1.508817481995717635e+00,1.961334772700029649e+00,3.120059488307800333e+00,7.709974786987747741e+00,3.829802814333674199e+00,-3.578238047329258542e-01
9.826474761193654262e-01,3.072690289072042447e+00,1.334677412034103327e+04,4.101050323000994103e+04,2.200000000000000000e+01,2.911180000000000000e+05,7.491600000000000000e+04,1.405648582358352439e+00,1.496360434274152773e+00,1.936184423897420626e+00,3.092582961512715833e+00,7.559074983706224771e+00,3.780293125895122675e+00,-3.580849153874656743e-01
9.766708471246110523e-01,3.007432428968197069e+00,2.333627820584228903e+04,7.018227984767386806e+04,2.600000000000000000e+01,5.039570000000000000e+05,1.358720000000000000e+05,9.010198595174310210e-01,5.221036369527968235e-01,4.325904437461840502e-01,8.469450608801081248e-01,5.098159011435594579e-01,6.115863047334949565e-01,-5.383496364206655227e-02
9.784322501096579527e-01,3.021124744507233117e+00,2.320944856823924056e+04,7.011863937587554392e+04,3.000000000000000000e+01,5.022410000000000000e+05,1.365510000000000000e+05,9.105443534571661113e-01,5.346445306961623567e-01,4.465214366992189543e-01,8.723213055498634239e-01,5.414689962738625795e-01,6.374231359045826606e-01,-5.662973138645321924e-02
9.757393957411546470e-01,2.982757051031499351e+00,3.556767363687613397e+04,1.060897293291794485e+05,5.400000000000000000e+01,7.646570000000000000e+05,2.076220000000000000e+05,6.728193479602997407e-01,2.477148923988568285e-01,1.586414525836788714e-01,3.605686092467391690e-01,8.495041229740192545e-02,1.794281156384195108e-01,-1.483678499185567962e-02
9.778027126544004410e-01,3.002228592289974074e+00,3.529934160859146505e+04,1.059766926663244667e+05,4.100000000000000000e+01,7.615490000000000000e+05,2.053750000000000000e+05,6.772269306100762165e-01,2.498978591202273836e-01,1.596058838070908426e-01,3.659321691581423064e-01,8.705744846346208377e-02,1.828962894781890058e-01,-1.554964442200188618e-02
