white,black
3.253340000000000000e+05,2.737420000000000000e+05
3.244810000000000000e+05,2.808030000000000000e+05
3.154450000000000000e+05,2.682510000000000000e+05
3.138990000000000000e+05,2.667450000000000000e+05
3.104900000000000000e+05,2.671100000000000000e+05
3.113070000000000000e+05,2.693370000000000000e+05
3.189740000000000000e+05,2.708500000000000000e+05
3.121050000000000000e+05,2.654950000000000000e+05
4.036560000000000000e+05,3.053080000000000000e+05
4.040210000000000000e+05,3.049430000000000000e+05
1.893050000000000000e+05,2.177390000000000000e+05
1.895270000000000000e+05,2.226370000000000000e+05
