Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
8.989438622991980932e-01,1.006595879272644600e+00,2.627414117140354574e+04,2.644744223456254258e+04,3.300000000000000000e+01,3.152110000000000000e+05,1.301350000000000000e+05,9.434284715343224104e-01,6.019404546613458251e-01,4.386888005487458719e-01,9.569284218273426124e-01,6.197026102968625771e-01,7.424311719453617897e-01,1.946484012659788210e-02
8.985821981688170146e-01,1.005620470782819575e+00,2.620270135720099279e+04,2.634997287461008818e+04,4.400000000000000000e+01,3.143360000000000000e+05,1.296460000000000000e+05,9.757134808106832091e-01,6.543598961252605761e-01,5.049639097552849343e-01,1.056715904304966980e+00,7.714932889984157383e-01,8.548040606078823878e-01,2.540740882503417231e-02
8.964185204599962598e-01,1.013412218695113332e+00,2.538991183889207605e+04,2.573044688912494166e+04,3.900000000000000000e+01,3.054690000000000000e+05,1.331650000000000000e+05,9.846034041407623061e-01,6.684767465777622375e-01,5.187575011683261961e-01,1.084924760689629064e+00,8.135529310600917441e-01,8.870389346580360712e-01,2.443579388608441150e-02
9.006435719006781193e-01,1.004855367678025635e+00,2.536416669126707347e+04,2.548731904639990535e+04,3.300000000000000000e+01,3.040360000000000000e+05,1.307720000000000000e+05,9.947770208265047653e-01,6.845376782689478468e-01,5.385390013082766991e-01,1.117093839349548645e+00,8.660345530925512847e-01,9.242475833695390497e-01,2.679984953603842257e-02
8.937891593975239024e-01,1.011329813445914994e+00,2.501790230897336369e+04,2.530135047494215905e+04,3.500000000000000000e+01,3.007780000000000000e+05,1.234340000000000000e+05,9.843852922802633909e-01,6.674307129667844674e-01,5.160011898143064268e-01,1.083420747482105817e+00,8.097120344781458812e-01,8.851159324951787255e-01,2.398682789156153516e-02
8.997558745368812172e-01,1.013284264312876548e+00,2.504904362972295712e+04,2.538180174608497327e+04,4.900000000000000000e+01,3.013900000000000000e+05,1.254620000000000000e+05,1.003240044848241475e+00,6.977426822265432316e-01,5.542189215780956024e-01,1.144177121265194330e+00,9.106982796770588529e-01,9.557422929810123202e-01,2.805976453206360244e-02
8.935913194366889023e-01,1.013216121427095828e+00,2.559162985201776246e+04,2.592985193965931830e+04,5.100000000000000000e+01,3.084210000000000000e+05,1.335150000000000000e+05,9.587544462407171508e-01,6.273775169699643550e-01,4.682443318900308959e-01,1.003930087652926018e+00,6.880499441162808427e-01,7.951844334051361152e-01,1.934051306491296751e-02
9.001172519967227670e-01,1.007591814366118443e+00,2.518032380649709012e+04,2.537148815051477141e+04,3.900000000000000000e+01,3.022490000000000000e+05,1.252710000000000000e+05,9.851953128197007414e-01,6.681650133274044112e-01,5.154497833411885166e-01,1.085316667113273237e+00,8.114085047176908816e-01,8.871525859083257970e-01,2.390126868063441323e-02
8.792227709609311548e-01,1.013748154981449545e+00,3.229425402235793808e+04,3.273824043166761112e+04,2.800000000000000000e+01,3.927080000000000000e+05,1.530890000000000000e+05,1.169965460034308569e+00,1.008841746534036687e+00,1.046963545340633406e+00,1.791802639129340902e+00,2.453600437461416206e+00,1.799706340754966938e+00,-5.191619469818054000e-02
8.738200396798335712e-01,1.013822376728726882e+00,3.230525382392845495e+04,3.275178921259993513e+04,4.600000000000000000e+01,3.928630000000000000e+05,1.566530000000000000e+05,1.192484327280114886e+00,1.053736015305298812e+00,1.120519668376009470e+00,1.892984561538522126e+00,2.756502211596535190e+00,1.943179623754945462e+00,-5.019934055100683246e-02
1.024582825381121776e+00,1.011157492519141998e+00,1.604425364489878848e+04,1.622326728491696485e+04,2.900000000000000000e+01,1.808640000000000000e+05,1.066620000000000000e+05,1.604465644785308065e+00,2.034231651824305764e+00,2.780690529687216639e+00,4.533297138964366368e+00,1.609281797306560335e+01,6.465681840913283907e+00,2.795367623970514970e-01
1.031737249427738146e+00,1.011049712747828844e+00,1.605731165983413666e+04,1.623474034117766678e+04,3.600000000000000000e+01,1.810250000000000000e+05,1.032170000000000000e+05,1.463450585678694349e+00,1.653783490172311854e+00,2.040805703517776681e+00,3.467280191914949405e+00,9.220680854160912432e+00,4.458905460358173478e+00,2.179123882597373552e-01
