Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
1.988759218591882538e+00,5.131478747465958001e+00,7.498670200749152173e+02,3.847926676940056041e+03,4.000000000000000000e+00,1.398600000000000000e+04,2.725500000000000000e+04,3.309690183442778877e-01,4.840710624582851562e-02,1.528981373133814388e-02,1.274058177188956004e-03,8.330375991474951433e-08,-5.261708304484797704e-05,-5.622601782273865307e-06
1.988759218591882538e+00,5.131478747465959778e+00,3.847926676940056495e+03,7.498670200749149899e+02,4.000000000000000000e+00,1.397400000000000000e+04,2.750000000000000000e+04,3.290299885006376934e-01,4.915789983365710658e-02,2.370605748041304181e-02,3.803716789855144352e-03,6.972535530686445324e-06,-6.069923943006664364e-05,-3.544013562216182943e-05
1.988759218591882538e+00,5.131478747465963330e+00,7.498670200749143078e+02,3.847926676940055586e+03,4.000000000000000000e+00,1.397400000000000000e+04,2.750000000000000000e+04,3.309690183442778322e-01,4.840710624582851562e-02,1.528981373133813694e-02,1.274058177188957522e-03,8.330375991474803202e-08,-5.261708304484819388e-05,-5.622601782273873778e-06
1.988759218591882538e+00,5.131478747465961554e+00,3.847926676940055586e+03,7.498670200749145351e+02,4.000000000000000000e+00,1.398600000000000000e+04,2.725500000000000000e+04,3.290299885006376934e-01,4.915789983365706495e-02,2.370605748041305916e-02,3.803716789855138281e-03,6.972535530686389420e-06,-6.069923943006696890e-05,-3.544013562216176167e-05
4.720640031027978800e+00,5.417282501443945186e+00,1.402061868517392213e+04,2.588127660212810952e+03,5.500000000000000000e+01,5.220500000000000000e+04,6.561700000000000000e+04,3.427950490019955887e-01,5.931812977147982169e-02,8.142803929159423554e-03,1.193980545364749235e-02,1.159215058976604098e-04,2.880095583758412753e-03,2.054955508436574275e-05
4.720640031027978800e+00,5.417282501443954068e+00,2.588127660212806404e+03,1.402061868517391849e+04,5.500000000000000000e+01,5.220500000000000000e+04,6.561700000000000000e+04,3.406095960006256251e-01,3.881032265289982575e-02,8.763610627539558315e-03,4.162341779494826283e-03,-1.014231939672933594e-05,-5.218415135064930713e-04,2.300224127043804369e-05
4.720640031027978800e+00,5.417282501443948739e+00,1.402061868517392031e+04,2.588127660212809133e+03,5.500000000000000000e+01,5.213700000000000000e+04,6.492900000000000000e+04,3.427950490019955332e-01,5.931812977147978005e-02,8.142803929159437432e-03,1.193980545364750623e-02,1.159215058976605995e-04,2.880095583758414055e-03,2.054955508436612899e-05
4.720640031027978800e+00,5.417282501443942522e+00,2.588127660212811861e+03,1.402061868517391849e+04,5.500000000000000000e+01,5.213700000000000000e+04,6.492900000000000000e+04,3.406095960006254586e-01,3.881032265289982575e-02,8.763610627539570458e-03,4.162341779494831487e-03,-1.014231939672942742e-05,-5.218415135064944808e-04,2.300224127043806402e-05
4.552485231706124402e+00,5.214445852389741454e+00,2.631468543533568663e+03,1.372165023252269020e+04,4.700000000000000000e+01,5.177000000000000000e+04,8.261500000000000000e+04,3.675766625965508627e-01,5.264349191720835153e-02,1.842853313246832145e-02,2.011154914299266225e-02,3.420821603138081901e-04,3.660563081485941617e-03,-1.813523347935872975e-04
4.552485231706124402e+00,5.214445852389745006e+00,1.372165023252268838e+04,2.631468543533566390e+03,4.700000000000000000e+01,5.177000000000000000e+04,8.287000000000000000e+04,3.160592669153339251e-01,4.586719070708741158e-02,4.513129991497884502e-04,1.338284800392695395e-03,9.414085875719482179e-07,2.819458553101007649e-04,-4.421440271950336876e-07
4.552485231706124402e+00,5.214445852389748559e+00,2.631468543533565025e+03,1.372165023252269202e+04,4.700000000000000000e+01,5.177000000000000000e+04,8.287000000000000000e+04,3.675766625965507517e-01,5.264349191720836540e-02,1.842853313246832145e-02,2.011154914299262755e-02,3.420821603138071601e-04,3.660563081485935545e-03,-1.813523347935870535e-04
4.552485231706124402e+00,5.214445852389739677e+00,1.372165023252268293e+04,2.631468543533568209e+03,4.700000000000000000e+01,5.177000000000000000e+04,8.261500000000000000e+04,3.160592669153336476e-01,4.586719070708730056e-02,4.513129991497844386e-04,1.338284800392690191e-03,9.414085875719383711e-07,2.819458553100993013e-04,-4.421440271950297171e-07
3.211995709047329228e+00,4.253913867510269675e+00,2.323145082635346625e+03,9.882459083260793705e+03,3.400000000000000000e+01,5.173300000000000000e+04,4.157100000000000000e+04,2.531284150149686885e-01,1.988543304834472503e-02,8.074975377954918959e-03,5.238046162544593778e-03,2.077843463612165579e-05,3.424654136555684795e-04,-2.699569250027062284e-05
3.211995709047329228e+00,4.253913867510263458e+00,9.882459083260790067e+03,2.323145082635349354e+03,3.400000000000000000e+01,5.173300000000000000e+04,4.157100000000000000e+04,2.375128287501641067e-01,2.151620281652119604e-02,1.161715791095462372e-03,1.936588460718068885e-04,5.273834981583260865e-08,-9.477896885163114780e-06,7.520724734649827148e-08
3.211995709047329228e+00,4.253913867510268787e+00,2.323145082635346625e+03,9.882459083260790067e+03,3.400000000000000000e+01,5.173300000000000000e+04,4.157100000000000000e+04,2.531284150149685774e-01,1.988543304834472156e-02,8.074975377954912020e-03,5.238046162544592044e-03,2.077843463612168628e-05,3.424654136555701600e-04,-2.699569250027056524e-05
3.211995709047329228e+00,4.253913867510272340e+00,9.882459083260800980e+03,2.323145082635347080e+03,3.400000000000000000e+01,5.173300000000000000e+04,4.157100000000000000e+04,2.375128287501638846e-01,2.151620281652113012e-02,1.161715791095458685e-03,1.936588460718063193e-04,5.273834981583346230e-08,-9.477896885162789519e-06,7.520724734649700093e-08
2.430081410374356210e+00,4.447017331841657040e+00,4.399336955575247885e+03,9.892781222314996512e+02,1.400000000000000000e+01,1.674300000000000000e+04,3.195100000000000000e+04,3.270308503760305241e-01,4.335445434120280273e-02,1.808098644799666088e-02,3.278260625006837806e-03,1.067303687077762648e-05,-1.260944113298872408e-04,-2.287150036602755753e-05
