white,black
2.086300000000000000e+04,1.745010000000000000e+05
2.086300000000000000e+04,1.727370000000000000e+05
2.086300000000000000e+04,1.745010000000000000e+05
2.086300000000000000e+04,1.762730000000000000e+05
2.851800000000000000e+04,2.439660000000000000e+05
2.851800000000000000e+04,2.439660000000000000e+05
2.851800000000000000e+04,2.460580000000000000e+05
2.851800000000000000e+04,2.460580000000000000e+05
2.948000000000000000e+04,2.556760000000000000e+05
2.948000000000000000e+04,2.556760000000000000e+05
2.948000000000000000e+04,2.556760000000000000e+05
2.948000000000000000e+04,2.578160000000000000e+05
2.169600000000000000e+04,2.528800000000000000e+05
2.169600000000000000e+04,2.528800000000000000e+05
2.169600000000000000e+04,2.507880000000000000e+05
2.169600000000000000e+04,2.507880000000000000e+05
2.800000000000000000e+04,2.403240000000000000e+05
2.800000000000000000e+04,2.382560000000000000e+05
2.800000000000000000e+04,2.403240000000000000e+05
2.800000000000000000e+04,2.424000000000000000e+05
2.187700000000000000e+04,2.547990000000000000e+05
2.187700000000000000e+04,2.526990000000000000e+05
2.187700000000000000e+04,2.547990000000000000e+05
2.187700000000000000e+04,2.547990000000000000e+05
4.386100000000000000e+04,2.286230000000000000e+05
4.386100000000000000e+04,2.265390000000000000e+05
4.386100000000000000e+04,2.286230000000000000e+05
4.386100000000000000e+04,2.286230000000000000e+05
3.004600000000000000e+04,2.508540000000000000e+05
3.004600000000000000e+04,2.508540000000000000e+05
3.004600000000000000e+04,2.529780000000000000e+05
3.004600000000000000e+04,2.529780000000000000e+05
3.780100000000000000e+04,2.263950000000000000e+05
3.780100000000000000e+04,2.243430000000000000e+05
3.780100000000000000e+04,2.263950000000000000e+05
3.780100000000000000e+04,2.284550000000000000e+05
3.126700000000000000e+04,2.712330000000000000e+05
3.126700000000000000e+04,2.712330000000000000e+05
3.126700000000000000e+04,2.712330000000000000e+05
3.126700000000000000e+04,2.734370000000000000e+05
3.137300000000000000e+04,2.390270000000000000e+05
3.137300000000000000e+04,2.390270000000000000e+05
3.137300000000000000e+04,2.411110000000000000e+05
3.137300000000000000e+04,2.411110000000000000e+05
2.923000000000000000e+04,2.537940000000000000e+05
2.923000000000000000e+04,2.537940000000000000e+05
2.923000000000000000e+04,2.559260000000000000e+05
2.923000000000000000e+04,2.559260000000000000e+05
2.193100000000000000e+04,2.632250000000000000e+05
2.193100000000000000e+04,2.610930000000000000e+05
2.193100000000000000e+04,2.632250000000000000e+05
2.193100000000000000e+04,2.653650000000000000e+05
2.789300000000000000e+04,2.445910000000000000e+05
2.789300000000000000e+04,2.425070000000000000e+05
2.789300000000000000e+04,2.445910000000000000e+05
2.789300000000000000e+04,2.466830000000000000e+05
3.000100000000000000e+04,2.530230000000000000e+05
3.000100000000000000e+04,2.508990000000000000e+05
3.000100000000000000e+04,2.530230000000000000e+05
3.000100000000000000e+04,2.551550000000000000e+05
2.771300000000000000e+04,2.617310000000000000e+05
2.771300000000000000e+04,2.595830000000000000e+05
2.771300000000000000e+04,2.617310000000000000e+05
2.771300000000000000e+04,2.617310000000000000e+05
2.833500000000000000e+04,2.441490000000000000e+05
2.833500000000000000e+04,2.441490000000000000e+05
2.833500000000000000e+04,2.441490000000000000e+05
2.833500000000000000e+04,2.462410000000000000e+05
2.876600000000000000e+04,2.585300000000000000e+05
2.876600000000000000e+04,2.585300000000000000e+05
2.876600000000000000e+04,2.585300000000000000e+05
2.876600000000000000e+04,2.606780000000000000e+05
3.686100000000000000e+04,2.880390000000000000e+05
3.686100000000000000e+04,2.880390000000000000e+05
3.686100000000000000e+04,2.880390000000000000e+05
3.686100000000000000e+04,2.903230000000000000e+05
2.525700000000000000e+04,2.430670000000000000e+05
2.525700000000000000e+04,2.451430000000000000e+05
2.525700000000000000e+04,2.430670000000000000e+05
2.525700000000000000e+04,2.409990000000000000e+05
