Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
4.131463154853986630e+00,4.063665488254596170e+01,4.472403426417149603e+02,1.817435145348297374e+04,1.000000000000000000e+01,1.153600000000000000e+04,2.814200000000000000e+04,1.730295012578686231e+00,2.731693266130907904e+00,4.663190545386478592e-01,6.136009180267825158e-01,3.282020096067506110e-01,1.012612420912706312e+00,-3.815515341683173300e-03
4.131463154853986630e+00,4.063665488254628855e+01,1.817435145348297374e+04,4.472403426417113224e+02,1.000000000000000000e+01,1.157200000000000000e+04,2.810600000000000000e+04,1.613816828608244602e+00,2.359247134482605368e+00,8.874154949286431338e-01,7.826125733267254025e-01,6.521255950670814538e-01,1.196256281939801713e+00,-1.013946515835467688e-02
4.131463154853986630e+00,4.063665488254611091e+01,4.472403426417131413e+02,1.817435145348296646e+04,1.000000000000000000e+01,1.153600000000000000e+04,2.814200000000000000e+04,1.730295012578685787e+00,2.731693266130907904e+00,4.663190545386478592e-01,6.136009180267814056e-01,3.282020096067498338e-01,1.012612420912704536e+00,-3.815515341681674499e-03
4.131463154853986630e+00,4.063665488254594038e+01,1.817435145348296646e+04,4.472403426417149603e+02,1.000000000000000000e+01,1.157200000000000000e+04,2.810600000000000000e+04,1.613816828608245046e+00,2.359247134482604036e+00,8.874154949286432448e-01,7.826125733267259577e-01,6.521255950670823420e-01,1.196256281939802379e+00,-1.013946515835334461e-02
5.204766317055294245e+00,4.417976408130508048e+01,2.660457216795334170e+04,6.021890954191676428e+02,1.200000000000000000e+01,1.800300000000000000e+04,9.159000000000000000e+04,1.516903167190544632e+00,2.101526486495977064e+00,1.976655681012933624e-02,4.486915297098395539e-03,3.500965575269878778e-05,4.938250707524982110e-03,-2.366188464745621055e-05
5.204766317055294245e+00,4.417976408130470389e+01,6.021890954191730998e+02,2.660457216795335262e+04,1.200000000000000000e+01,1.800300000000000000e+04,9.159000000000000000e+04,1.511549427959502090e+00,2.086632134910880065e+00,2.005544719502528050e-01,1.547983966761546371e-01,2.726751232375518308e-02,2.229455126810050147e-01,-6.420092875142296811e-04
5.204766317055294245e+00,4.417976408130495969e+01,2.660457216795334898e+04,6.021890954191694618e+02,1.200000000000000000e+01,1.802100000000000000e+04,9.087900000000000000e+04,1.516903167190544188e+00,2.101526486495972623e+00,1.976655681012983931e-02,4.486915297098401610e-03,3.500965575269944507e-05,4.938250707525000324e-03,-2.366188464745635963e-05
5.204766317055294245e+00,4.417976408130417809e+01,6.021890954191803758e+02,2.660457216795335626e+04,1.200000000000000000e+01,1.802100000000000000e+04,9.087900000000000000e+04,1.511549427959502534e+00,2.086632134910882730e+00,2.005544719502540540e-01,1.547983966761549979e-01,2.726751232375536696e-02,2.229455126810057641e-01,-6.420092875142006245e-04
5.264057787736021510e+00,2.843786988972739849e+01,2.661707585391894463e+04,9.359729106691574998e+02,1.500000000000000000e+01,1.879600000000000000e+04,9.194400000000000000e+04,1.512515405389051715e+00,1.987896603590801226e+00,6.433549251939343905e-02,7.684699589942591003e-02,5.370862243319015662e-03,1.026517014639190956e-01,5.919238474782716457e-04
5.264057787736021510e+00,2.843786988972744112e+01,9.359729106691556808e+02,2.661707585391893736e+04,1.500000000000000000e+01,1.879600000000000000e+04,9.194400000000000000e+04,1.467559534510040731e+00,1.862959232540042365e+00,6.217818437922640884e-01,4.084896844020823869e-01,2.030397260418851380e-01,4.804171188436889284e-01,3.401260077260581660e-02
5.264057787736021510e+00,2.843786988972750507e+01,2.661707585391894099e+04,9.359729106691538618e+02,1.500000000000000000e+01,1.879600000000000000e+04,9.194400000000000000e+04,1.512515405389051271e+00,1.987896603590801670e+00,6.433549251939307823e-02,7.684699589942589615e-02,5.370862243318999182e-03,1.026517014639189984e-01,5.919238474782599364e-04
5.264057787736021510e+00,2.843786988972756546e+01,9.359729106691520428e+02,2.661707585391894463e+04,1.500000000000000000e+01,1.879600000000000000e+04,9.194400000000000000e+04,1.467559534510040953e+00,1.862959232540048138e+00,6.217818437922670860e-01,4.084896844020834972e-01,2.030397260418863592e-01,4.804171188436912043e-01,3.401260077260627457e-02
4.821703389197108613e+00,6.781607135573511869e+01,1.950318345068099006e+04,2.875894026413789106e+02,8.000000000000000000e+00,1.286000000000000000e+04,7.262100000000000000e+04,1.552502569724277137e+00,2.270282543953613619e+00,3.491732829720650688e-02,3.087122652133575309e-03,-2.861138441642183892e-05,-4.629568938480663545e-03,1.444650088231871320e-05
