Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
1.668157593825126739e+00,1.291722377680182454e+01,1.594047628184855512e+02,2.059066992414396736e+03,3.000000000000000000e+00,6.564000000000000000e+03,6.956000000000000000e+03,3.378676298539805001e-01,8.367402309137046690e-02,3.500221180167597802e-05,3.235072585383506584e-05,1.052333944982812966e-09,7.830259287780378687e-06,-2.786987918757873071e-10
1.668157593825126739e+00,1.291722377680183698e+01,2.059066992414396282e+03,1.594047628184853522e+02,3.000000000000000000e+00,6.564000000000000000e+03,6.956000000000000000e+03,3.396136438159684245e-01,8.389145888787291616e-02,1.472381733952588846e-03,1.206667831192717111e-03,1.555680892993698950e-06,2.831738267892972981e-04,4.083879239730314299e-07
1.668157593825126739e+00,1.291722377680185652e+01,1.594047628184850964e+02,2.059066992414396282e+03,3.000000000000000000e+00,6.564000000000000000e+03,6.956000000000000000e+03,3.378676298539802780e-01,8.367402309137025873e-02,3.500221180167645236e-05,3.235072585383548597e-05,1.052333944982840883e-09,7.830259287780471861e-06,-2.786987918757937178e-10
1.668157593825126739e+00,1.291722377680183875e+01,2.059066992414396282e+03,1.594047628184853238e+02,3.000000000000000000e+00,6.564000000000000000e+03,6.956000000000000000e+03,3.396136438159684245e-01,8.389145888787290228e-02,1.472381733952590798e-03,1.206667831192716677e-03,1.555680892993698738e-06,2.831738267892970813e-04,4.083879239730329122e-07
1.703959642700689336e+00,1.345359695775802855e+01,1.714638163517879548e+02,2.306805078035995848e+03,3.000000000000000000e+00,7.209000000000000000e+03,7.271000000000000000e+03,3.442147314729130381e-01,8.754051107250768182e-02,5.290200012282042247e-04,1.208477653843773134e-04,1.104117328402302307e-08,-1.273282499211160878e-05,-2.849124072109401795e-08
1.703959642700689336e+00,1.345359695775803743e+01,2.306805078035993574e+03,1.714638163517876706e+02,3.000000000000000000e+00,7.209000000000000000e+03,7.271000000000000000e+03,3.473199772560758292e-01,8.805225319098844428e-02,1.488738849796480013e-03,1.550613583373924636e-03,2.298805972156378775e-06,3.429638479398997757e-04,5.157081492371700847e-07
1.703959642700689336e+00,1.345359695775806230e+01,1.714638163517875000e+02,2.306805078035995393e+03,3.000000000000000000e+00,7.209000000000000000e+03,7.271000000000000000e+03,3.442147314729127050e-01,8.754051107250761243e-02,5.290200012282048753e-04,1.208477653843774760e-04,1.104117328402296020e-08,-1.273282499211169348e-05,-2.849124072109413045e-08
1.703959642700689336e+00,1.345359695775804809e+01,2.306805078035994484e+03,1.714638163517876137e+02,3.000000000000000000e+00,7.209000000000000000e+03,7.271000000000000000e+03,3.473199772560758292e-01,8.805225319098844428e-02,1.488738849796481748e-03,1.550613583373926588e-03,2.298805972156383857e-06,3.429638479399002094e-04,5.157081492371718846e-07
1.608703490375116285e+00,8.861667855256486703e+00,3.434732102778657463e+02,3.043745506661114632e+03,6.000000000000000000e+00,1.173500000000000000e+04,9.629000000000000000e+03,2.887131601115529023e-01,5.296465602139869416e-02,1.803590410699028486e-04,6.769843351408697495e-05,7.438273528338878235e-09,1.545622787959423548e-05,-7.947204519947895368e-10
1.608703490375116285e+00,8.861667855256477822e+00,3.043745506661115542e+03,3.434732102778661442e+02,6.000000000000000000e+00,1.173500000000000000e+04,9.629000000000000000e+03,2.893325838526185634e-01,5.300564547522757658e-02,8.890085306456380499e-04,5.037775332324441599e-04,3.124958367392018499e-07,9.007488718467059573e-05,1.265313780381385366e-07
