white,black
4.413700000000000000e+04,8.546300000000000000e+04
4.413700000000000000e+04,8.402700000000000000e+04
4.413700000000000000e+04,8.546300000000000000e+04
4.413700000000000000e+04,8.690700000000000000e+04
4.158500000000000000e+04,1.184150000000000000e+05
4.158500000000000000e+04,1.184150000000000000e+05
4.158500000000000000e+04,1.184150000000000000e+05
4.158500000000000000e+04,1.200190000000000000e+05
5.082300000000000000e+04,1.480930000000000000e+05
5.082300000000000000e+04,1.480930000000000000e+05
5.082300000000000000e+04,1.498810000000000000e+05
5.082300000000000000e+04,1.498810000000000000e+05
2.883800000000000000e+04,9.087800000000000000e+04
2.883800000000000000e+04,9.226600000000000000e+04
2.883800000000000000e+04,9.087800000000000000e+04
2.883800000000000000e+04,8.949800000000000000e+04
3.606000000000000000e+04,6.762400000000000000e+04
3.606000000000000000e+04,6.634000000000000000e+04
3.606000000000000000e+04,6.634000000000000000e+04
3.606000000000000000e+04,6.634000000000000000e+04
4.410600000000000000e+04,6.745000000000000000e+04
4.410600000000000000e+04,6.879000000000000000e+04
4.410600000000000000e+04,6.879000000000000000e+04
4.410600000000000000e+04,6.745000000000000000e+04
4.927200000000000000e+04,1.028280000000000000e+05
4.927200000000000000e+04,1.028280000000000000e+05
4.927200000000000000e+04,1.028280000000000000e+05
4.927200000000000000e+04,1.012720000000000000e+05
2.960000000000000000e+04,6.774400000000000000e+04
2.960000000000000000e+04,6.899600000000000000e+04
2.960000000000000000e+04,7.025600000000000000e+04
2.960000000000000000e+04,6.899600000000000000e+04
3.527700000000000000e+04,9.288700000000000000e+04
3.527700000000000000e+04,9.432300000000000000e+04
3.527700000000000000e+04,9.288700000000000000e+04
3.527700000000000000e+04,9.145900000000000000e+04
3.082900000000000000e+04,6.280700000000000000e+04
3.082900000000000000e+04,6.158700000000000000e+04
3.082900000000000000e+04,6.158700000000000000e+04
3.082900000000000000e+04,6.280700000000000000e+04
4.029000000000000000e+04,7.260600000000000000e+04
4.029000000000000000e+04,7.260600000000000000e+04
4.029000000000000000e+04,7.395400000000000000e+04
4.029000000000000000e+04,7.395400000000000000e+04
4.505400000000000000e+04,6.122200000000000000e+04
4.505400000000000000e+04,6.253000000000000000e+04
4.505400000000000000e+04,6.253000000000000000e+04
4.505400000000000000e+04,6.253000000000000000e+04
3.903600000000000000e+04,6.986400000000000000e+04
3.903600000000000000e+04,6.854800000000000000e+04
3.903600000000000000e+04,6.986400000000000000e+04
3.903600000000000000e+04,7.118800000000000000e+04
3.662300000000000000e+04,6.577700000000000000e+04
3.662300000000000000e+04,6.450100000000000000e+04
3.662300000000000000e+04,6.577700000000000000e+04
3.662300000000000000e+04,6.706100000000000000e+04
3.352000000000000000e+04,9.464400000000000000e+04
3.352000000000000000e+04,9.321600000000000000e+04
3.352000000000000000e+04,9.464400000000000000e+04
3.352000000000000000e+04,9.608000000000000000e+04
4.637100000000000000e+04,1.010850000000000000e+05
4.637100000000000000e+04,1.026250000000000000e+05
4.637100000000000000e+04,1.026250000000000000e+05
4.637100000000000000e+04,1.010850000000000000e+05
4.649100000000000000e+04,1.025050000000000000e+05
4.649100000000000000e+04,1.040530000000000000e+05
4.649100000000000000e+04,1.040530000000000000e+05
4.649100000000000000e+04,1.040530000000000000e+05
4.221600000000000000e+04,1.146000000000000000e+05
4.221600000000000000e+04,1.161880000000000000e+05
4.221600000000000000e+04,1.161880000000000000e+05
4.221600000000000000e+04,1.161880000000000000e+05
3.306600000000000000e+04,7.321000000000000000e+04
3.306600000000000000e+04,7.191000000000000000e+04
3.306600000000000000e+04,7.321000000000000000e+04
3.306600000000000000e+04,7.451800000000000000e+04
4.772000000000000000e+04,8.188000000000000000e+04
4.772000000000000000e+04,8.332400000000000000e+04
4.772000000000000000e+04,8.188000000000000000e+04
4.772000000000000000e+04,8.044400000000000000e+04
