Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
2.287210391685553734e+00,3.473344916106285929e+00,1.632932259698677171e+03,5.671736962570349533e+03,2.000000000000000000e+01,3.180000000000000000e+04,2.676000000000000000e+04,2.406060038509816312e-01,1.886068768180533539e-02,2.947803568409609019e-03,4.613649060334410260e-03,1.692511789317968656e-05,5.984709447905599495e-04,1.740540226887183705e-06
2.287210391685553734e+00,3.473344916106289038e+00,5.671736962570346805e+03,1.632932259698674898e+03,2.000000000000000000e+01,3.179200000000000000e+04,2.665400000000000000e+04,2.311891703292316413e-01,1.578024337738991728e-02,1.579112123711369194e-03,3.562254889047600996e-04,-2.601437762103919046e-07,-4.415756822673660298e-05,-6.088586908032694811e-08
2.287210391685553734e+00,3.473344916106287261e+00,1.632932259698676717e+03,5.671736962570350443e+03,2.000000000000000000e+01,3.180000000000000000e+04,2.676000000000000000e+04,2.406060038509816312e-01,1.886068768180536662e-02,2.947803568409607285e-03,4.613649060334408525e-03,1.692511789317967301e-05,5.984709447905601663e-04,1.740540226887185399e-06
2.287210391685553734e+00,3.473344916106292590e+00,5.671736962570344986e+03,1.632932259698672624e+03,2.000000000000000000e+01,3.179200000000000000e+04,2.665400000000000000e+04,2.311891703292316969e-01,1.578024337738990687e-02,1.579112123711365291e-03,3.562254889047591780e-04,-2.601437762103905811e-07,-4.415756822673646745e-05,-6.088586908032712017e-08
2.309552746492316455e+00,1.378164380658095434e+00,2.084586272938346156e+03,2.872902549772443308e+03,1.600000000000000000e+01,2.524100000000000000e+04,1.823100000000000000e+04,2.394339462812676289e-01,1.551019890420765601e-03,9.572922455651131272e-06,7.088785178845614758e-03,1.476756481610204431e-06,2.064432975566608179e-04,1.108708407031759684e-06
2.309552746492316455e+00,1.378164380658096988e+00,2.872902549772444218e+03,2.084586272938344337e+03,1.600000000000000000e+01,2.524100000000000000e+04,1.823100000000000000e+04,2.390002508972858819e-01,4.060808312537737830e-03,3.961131966799855781e-04,9.541694545874793154e-03,4.248323495750011086e-06,5.869807331883520121e-04,1.805714805160623271e-05
2.309552746492316455e+00,1.378164380658096322e+00,2.084586272938345246e+03,2.872902549772443763e+03,1.600000000000000000e+01,2.524100000000000000e+04,1.823100000000000000e+04,2.394339462812676289e-01,1.551019890420764300e-03,9.572922455651158377e-06,7.088785178845617360e-03,1.476756481610203372e-06,2.064432975566605469e-04,1.108708407031767095e-06
2.309552746492316455e+00,1.378164380658096322e+00,2.872902549772443308e+03,2.084586272938344791e+03,1.600000000000000000e+01,2.524100000000000000e+04,1.823100000000000000e+04,2.390002508972859374e-01,4.060808312537725687e-03,3.961131966799814582e-04,9.541694545874789685e-03,4.248323495749982287e-06,5.869807331883509279e-04,1.805714805160613107e-05
2.706297331699904163e+00,2.516453582783173104e+00,2.089387973395878362e+03,5.257847851476131837e+03,1.900000000000000000e+01,3.455800000000000000e+04,2.527400000000000000e+04,2.310550053717947971e-01,9.531327464728945459e-03,1.308296248800279882e-03,4.489888967606999771e-03,7.043742774096740002e-06,3.480987452974369117e-04,-8.294719583945739350e-06
2.706297331699904163e+00,2.516453582783171328e+00,5.257847851476130018e+03,2.089387973395879271e+03,1.900000000000000000e+01,3.455800000000000000e+04,2.527400000000000000e+04,2.177235730721970852e-01,8.218116423531290904e-03,5.905236933717701532e-05,6.325756860372005932e-04,-7.498803827239183476e-09,1.042598406989533195e-05,1.220306645067130437e-07
