Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
1.080501922234229584e+00,1.460059050431880667e+00,4.441701602805938819e+03,3.042138330975105418e+03,1.000000000000000000e+00,4.470800000000000000e+04,6.652000000000000000e+03,1.747992394755125689e-01,1.040089242583237903e-03,2.750626040808925839e-04,8.491477479038564338e-04,-5.944145257411044264e-08,1.077043122735764709e-05,4.060565644997689746e-07
1.080501922234229584e+00,1.460059050431882000e+00,3.042138330975102690e+03,4.441701602805938819e+03,1.000000000000000000e+00,4.470800000000000000e+04,6.652000000000000000e+03,1.700747845295675909e-01,9.855551492105837138e-04,5.913844601187366243e-05,3.137747742996362436e-04,3.480504896336600243e-08,2.831445518838823352e-06,2.481022592094063244e-08
1.080501922234229584e+00,1.460059050431881333e+00,4.441701602805939729e+03,3.042138330975104509e+03,1.000000000000000000e+00,4.470800000000000000e+04,6.652000000000000000e+03,1.747992394755123191e-01,1.040089242583225760e-03,2.750626040808918792e-04,8.491477479038558917e-04,-5.944145257411123673e-08,1.077043122735762506e-05,4.060565644997679687e-07
1.080501922234229584e+00,1.460059050431881777e+00,3.042138330975104509e+03,4.441701602805940638e+03,1.000000000000000000e+00,4.470800000000000000e+04,6.652000000000000000e+03,1.700747845295675909e-01,9.855551492105847980e-04,5.913844601187422486e-05,3.137747742996365146e-04,3.480504896336649212e-08,2.831445518838819964e-06,2.481022592094041075e-08
1.088564962193592889e+00,2.252666111036349061e+00,3.119614282540741442e+03,1.384854269905782530e+03,1.000000000000000000e+00,2.536400000000000000e+04,5.591000000000000000e+03,1.864028565134758508e-01,4.652059534952808668e-03,2.442569685162369235e-04,1.115170496477833418e-03,4.597639301766468659e-07,2.824890622002383802e-05,3.568759961063673643e-07
1.088564962193592889e+00,2.252666111036345509e+00,1.384854269905782985e+03,3.119614282540737804e+03,1.000000000000000000e+00,2.536400000000000000e+04,5.591000000000000000e+03,1.862835289269650918e-01,4.856292402411551898e-03,6.823353626703095335e-04,1.289526556544975293e-03,5.799716896410804434e-07,5.103726990766393351e-05,-1.061500117663190822e-06
1.088564962193592889e+00,2.252666111036347729e+00,3.119614282540738714e+03,1.384854269905782076e+03,1.000000000000000000e+00,2.536400000000000000e+04,5.591000000000000000e+03,1.864028565134757398e-01,4.652059534952802597e-03,2.442569685162345925e-04,1.115170496477836237e-03,4.597639301766507834e-07,2.824890622002413618e-05,3.568759961063611704e-07
1.088564962193592889e+00,2.252666111036343288e+00,1.384854269905783212e+03,3.119614282540735076e+03,1.000000000000000000e+00,2.535600000000000000e+04,5.394000000000000000e+03,1.862835289269650918e-01,4.856292402411555367e-03,6.823353626703157135e-04,1.289526556544979196e-03,5.799716896410884902e-07,5.103726990766412324e-05,-1.061500117663198869e-06
1.098726792111669459e+00,1.621592063250114402e+00,4.476188158479865706e+03,2.760366346088521823e+03,2.000000000000000000e+00,4.260300000000000000e+04,6.802000000000000000e+03,1.763925931941696112e-01,1.673242401117305735e-03,3.649861934286862406e-04,7.956219973363426803e-04,-8.149586905047488382e-09,1.303272274876268848e-05,4.286668706648212987e-07
1.098726792111669459e+00,1.621592063250113958e+00,2.760366346088524097e+03,4.476188158479868434e+03,2.000000000000000000e+00,4.260300000000000000e+04,6.802000000000000000e+03,1.742012711359757215e-01,1.634876545468481315e-03,6.707460616911017492e-05,5.202637012364924596e-04,9.236782104188952092e-08,6.859520782901581373e-06,3.022858522477421058e-08
1.098726792111669459e+00,1.621592063250114402e+00,4.476188158479865706e+03,2.760366346088521823e+03,2.000000000000000000e+00,4.260300000000000000e+04,6.802000000000000000e+03,1.763925931941696668e-01,1.673242401117304217e-03,3.649861934286868369e-04,7.956219973363421382e-04,-8.149586905048335415e-09,1.303272274876261902e-05,4.286668706648211399e-07
1.098726792111669459e+00,1.621592063250112847e+00,2.760366346088524551e+03,4.476188158479865706e+03,2.000000000000000000e+00,4.260300000000000000e+04,6.802000000000000000e+03,1.742012711359756660e-01,1.634876545468486519e-03,6.707460616911173346e-05,5.202637012364926764e-04,9.236782104189095029e-08,6.859520782901568668e-06,3.022858522477362824e-08
1.260203204173631963e+00,2.646461039662256987e+00,7.277632749327740385e+03,2.749948947012088411e+03,7.000000000000000000e+00,5.393400000000000000e+04,1.528200000000000000e+04,1.941962825937021964e-01,7.154357232084217373e-03,1.130863290049218765e-03,1.381614868740417904e-03,9.355015915808522415e-07,6.375234499421607878e-05,1.451644776164408679e-06
1.260203204173631963e+00,2.646461039662259207e+00,2.749948947012087956e+03,7.277632749327745842e+03,7.000000000000000000e+00,5.393400000000000000e+04,1.528200000000000000e+04,1.903130853224117847e-01,7.053121939191340888e-03,2.433747415445143558e-04,5.828723332051070731e-04,2.067330484842421361e-07,1.695326484496911487e-05,-7.386313977165132194e-08
1.260203204173631963e+00,2.646461039662252546e+00,7.277632749327731290e+03,2.749948947012089775e+03,7.000000000000000000e+00,5.393400000000000000e+04,1.528200000000000000e+04,1.941962825937021686e-01,7.154357232084213904e-03,1.130863290049217247e-03,1.381614868740417253e-03,9.355015915808539356e-07,6.375234499421613299e-05,1.451644776164405291e-06
1.260203204173631963e+00,2.646461039662256098e+00,2.749948947012087956e+03,7.277632749327736747e+03,7.000000000000000000e+00,5.393400000000000000e+04,1.528200000000000000e+04,1.903130853224117847e-01,7.053121939191359970e-03,2.433747415445131090e-04,5.828723332051083741e-04,2.067330484842426126e-07,1.695326484496928766e-05,-7.386313977165059402e-08
1.107785968648958841e+00,2.380149368532998189e+00,4.547365185112320432e+03,1.910537735669540325e+03,1.000000000000000000e+00,3.580200000000000000e+04,6.410000000000000000e+03,1.853176483536633778e-01,5.460388853543478131e-03,5.408716431275748015e-04,7.270656085068139939e-04,1.672568538110225289e-07,2.747621768804799314e-05,4.241535703109062783e-07
1.107785968648958841e+00,2.380149368532999521e+00,1.910537735669540325e+03,4.547365185112323161e+03,1.000000000000000000e+00,3.580200000000000000e+04,6.410000000000000000e+03,1.822943139570060156e-01,5.421966737305386301e-03,4.769260263853333787e-05,2.340626063601003372e-04,2.405318166165942462e-08,6.356182079576035047e-06,5.745938008758828455e-09
1.107785968648958841e+00,2.380149368532999521e+00,4.547365185112321342e+03,1.910537735669539416e+03,1.000000000000000000e+00,3.580200000000000000e+04,6.410000000000000000e+03,1.853176483536632946e-01,5.460388853543466856e-03,5.408716431275742594e-04,7.270656085068146444e-04,1.672568538110225554e-07,2.747621768804797620e-05,4.241535703109067548e-07
1.107785968648958841e+00,2.380149368532998189e+00,1.910537735669540780e+03,4.547365185112321342e+03,1.000000000000000000e+00,3.580200000000000000e+04,6.410000000000000000e+03,1.822943139570058491e-01,5.421966737305386301e-03,4.769260263853280254e-05,2.340626063601001204e-04,2.405318166165924926e-08,6.356182079576062152e-06,5.745938008758803640e-09
